,Country,Happiness Score,GDP per Capita,Freedom,suicide_rate
0,Afghanistan,3.79399991035461,0.401477217674255,0.106179520487785,4.1
1,Albania,4.64400005340576,0.996192753314972,0.381498634815216,4.7
2,Algeria,5.87200021743774,1.09186446666718,0.233335807919502,2.5
3,Argentina,6.59899997711182,1.18529546260834,0.494519203901291,8.9
4,Armenia,4.37599992752075,0.900596737861633,0.198303267359734,3.0
5,Australia,7.28399991989136,1.484414935112,0.601607382297516,13.1
6,Austria,7.00600004196167,1.48709726333618,0.567766189575195,15.4
7,Azerbaijan,5.23400020599365,1.15360176563263,0.398155838251114,4.0
8,Bahrain,6.08699989318848,1.48841226100922,0.536746919155121,8.1
9,Bangladesh,4.60799980163574,0.586682975292206,0.478356659412384,3.5
10,Belarus,5.56899976730347,1.15655755996704,0.295400261878967,23.3
11,Belgium,6.89099979400635,1.46378076076508,0.539770722389221,18.9
12,Benin,3.65700006484985,0.431085407733917,0.425962775945663,8.0
13,Bhutan,5.01100015640259,0.885416388511658,0.501537680625916,4.6
14,Bolivia,5.82299995422363,0.833756566047668,0.558732926845551,6.4
15,Bosnia and Herzegovina,5.18200016021729,0.982409417629242,0.204403176903725,10.5
16,Botswana,3.76600003242493,1.12209415435791,0.505196332931519,17.4
17,Brazil,6.63500022888184,1.10735321044922,0.437453746795654,6.6
18,Bulgaria,4.71400022506714,1.1614590883255,0.289231717586517,10.3
19,Burkina Faso,4.03200006484985,0.3502277135849,0.324367851018906,7.7
20,Burundi,2.90499997138977,0.091622568666935,0.0599007532000542,6.4
21,Cambodia,4.16800022125244,0.601765096187592,0.633375823497772,5.0
22,Cameroon,4.69500017166138,0.564305365085602,0.430388748645782,9.0
23,Canada,7.31599998474121,1.47920441627502,0.611100912094116,13.0
24,Central African Republic,2.69300007820129,0.0,0.270842045545578,14.3
25,Chad,3.93600010871887,0.438012987375259,0.16234202682972,6.7
26,Chile,6.65199995040894,1.25278460979462,0.376895278692245,9.3
27,China,5.27299976348877,1.08116579055786,0.472787708044052,8.1
28,Colombia,6.35699987411499,1.07062232494354,0.477487415075302,4.7
29,Costa Rica,7.0789999961853,1.10970628261566,0.580131649971008,6.1
30,Croatia,5.29300022125244,1.22255623340607,0.255772292613983,15.7
31,Cyprus,5.62099981307983,1.35593807697296,0.355111539363861,3.7
32,Czech Republic,6.60900020599365,1.35268235206604,0.490946173667908,13.9
33,Denmark,7.52199983596802,1.48238301277161,0.626006722450256,11.3
34,Dominican Republic,5.23000001907349,1.07937383651733,0.55258983373642,5.7
35,Ecuador,6.00799989700317,1.00082039833069,0.4551981985569,9.2
36,El Salvador,6.00299978256226,0.909784495830536,0.432452529668808,6.1
37,Estonia,5.61100006103516,1.32087934017181,0.479131430387497,18.7
38,Ethiopia,4.46000003814697,0.339233845472336,0.408842742443085,5.4
39,Finland,7.4689998626709,1.44357192516327,0.617950856685638,15.9
40,France,6.44199991226196,1.43092346191406,0.470222115516663,14.6
41,Gabon,4.46500015258789,1.1982102394104,0.312328577041626,8.8
42,Georgia,4.28599977493286,0.950612664222717,0.309410035610199,9.6
43,Germany,6.95100021362305,1.48792338371277,0.562511384487152,12.6
44,Ghana,4.11999988555908,0.667224824428558,0.423026293516159,7.0
45,Greece,5.22700023651123,1.28948748111725,0.0957312509417534,5.1
46,Guatemala,6.4539999961853,0.872001945972443,0.531310617923737,5.6
47,Guinea,3.50699996948242,0.244549930095673,0.348587512969971,7.0
48,Haiti,3.6029999256134,0.368610262870789,0.0303698573261499,9.7
49,Honduras,5.18100023269653,0.730573117733002,0.348079860210419,2.1
50,Hungary,5.32399988174438,1.2860119342804,0.175863519310951,17.5
51,Iceland,7.50400018692017,1.480633020401,0.627162635326385,12.2
52,India,4.31500005722046,0.792221248149872,0.469987004995346,12.0
53,Indonesia,5.26200008392334,0.995538592338562,0.443323463201523,2.4
54,Iraq,4.49700021743774,1.10271048545837,0.288555532693863,3.9
55,Ireland,6.97700023651123,1.53570663928986,0.573110342025757,10.0
56,Israel,7.21299982070923,1.37538242340088,0.405988603830338,5.1
57,Italy,5.96400022506714,1.39506661891937,0.256450712680817,7.1
58,Jamaica,5.31099987030029,0.925579309463501,0.474307239055634,2.3
59,Japan,5.92000007629395,1.41691517829895,0.505625545978546,17.0
60,Jordan,5.33599996566772,0.991012394428253,0.418421149253845,1.5
61,Kazakhstan,5.81899976730347,1.28455626964569,0.437454283237457,20.8
62,Kenya,4.55299997329712,0.560479462146759,0.452763766050339,5.6
63,Kuwait,6.10500001907349,1.63295245170593,0.496337592601776,2.7
64,Latvia,5.84999990463257,1.26074862480164,0.325707912445068,21.4
65,Lebanon,5.22499990463257,1.07498753070831,0.288515985012054,3.0
66,Lesotho,3.80800008773804,0.521021246910095,0.390661299228668,78.3
67,Liberia,3.53299999237061,0.119041793048382,0.332881182432175,4.5
68,Libya,5.52500009536743,1.10180306434631,0.465733230113983,5.5
69,Lithuania,5.90199995040894,1.31458234786987,0.234231784939766,29.7
70,Luxembourg,6.86299991607666,1.74194359779358,0.59662789106369,9.8
71,Madagascar,3.64400005340576,0.305808693170547,0.189196765422821,5.5
72,Malawi,3.97000002861023,0.233442038297653,0.466914653778076,5.9
73,Malaysia,6.08400011062622,1.29121541976929,0.402264982461929,5.4
74,Mali,4.19000005722046,0.476180493831635,0.306613743305206,4.1
75,Malta,6.52699995040894,1.34327983856201,0.588767051696777,5.5
76,Mauritania,4.29199981689453,0.648457288742065,0.0960980430245399,3.1
77,Mauritius,5.62900018692017,1.18939554691315,0.491247326135635,9.6
78,Mexico,6.57800006866455,1.15318381786346,0.412730008363724,5.9
79,Moldova,5.83799982070923,0.728870630264282,0.240729048848152,14.9
80,Mongolia,4.95499992370605,1.02723586559296,0.394143968820572,19.2
81,Montenegro,5.23699998855591,1.12112903594971,0.194989055395126,21.1
82,Morocco,5.2350001335144,0.878114581108093,0.408158332109451,7.1
83,Mozambique,4.55000019073486,0.234305649995804,0.480791091918945,13.4
84,Myanmar,4.54500007629395,0.367110550403595,0.514492034912109,3.0
85,Namibia,4.57399988174438,0.964434325695038,0.520303547382355,10.9
