,Country,Happiness Score,GDP per Capita,Freedom,suicide_rate
86,Nepal,4.96199989318848,0.479820191860199,0.440305948257446,8.7
87,Netherlands,7.3769998550415,1.50394463539124,0.585384488105774,12.1
88,New Zealand,7.31400012969971,1.40570604801178,0.614062130451202,12.7
89,Nicaragua,6.07100009918213,0.737299203872681,0.447551846504211,4.4
90,Niger,4.02799987792969,0.161925330758095,0.36365869641304,5.3
91,Nigeria,5.07399988174438,0.783756256103516,0.394952565431595,3.6
92,Norway,7.53700017929077,1.61646318435669,0.635422587394714,12.1
93,Pakistan,5.26900005340576,0.72688353061676,0.23521526157856,9.1
94,Panama,6.4520001411438,1.23374843597412,0.550026834011078,3.2
95,Paraguay,5.49300003051758,0.932537317276001,0.473507791757584,6.1
96,Peru,5.71500015258789,1.03522527217865,0.450002878904343,2.7
97,Philippines,5.42999982833862,0.85769921541214,0.585214674472809,2.2
98,Poland,5.97300004959106,1.29178786277771,0.520342111587524,13.3
99,Portugal,5.19500017166138,1.3151752948761,0.498465299606323,12.0
100,Qatar,6.375,1.87076568603516,0.604130983352661,5.8
101,Romania,5.82499980926514,1.21768391132355,0.457003742456436,10.1
102,Rwanda,3.47099995613098,0.368745893239975,0.581843852996826,5.6
103,Saudi Arabia,6.3439998626709,1.53062355518341,0.449750572443008,6.2
104,Senegal,4.53499984741211,0.479309022426605,0.377922266721725,6.2
105,Serbia,5.39499998092651,1.06931757926941,0.208715528249741,0.6
106,Sierra Leone,4.70900011062622,0.36842092871666,0.318697690963745,6.3
107,Singapore,6.57200002670288,1.69227766990662,0.549840569496155,9.0
108,Slovenia,5.75799989700317,1.3412059545517,0.572575807571411,20.9
109,Somalia,5.15100002288818,0.0226431842893362,0.602126955986023,8.0
110,South Africa,4.8289999961853,1.05469870567322,0.479246735572815,25.2
111,South Sudan,3.59100008010864,0.39724862575531,0.147062435746193,3.7
112,Spain,6.40299987792969,1.38439786434174,0.408781230449677,8.2
113,Sri Lanka,4.44000005722046,1.00985014438629,0.561213254928589,14.4
114,Sweden,7.28399991989136,1.49438726902008,0.612924098968506,15.0
115,Switzerland,7.49399995803833,1.56497955322266,0.620070576667786,14.6
116,Tajikistan,5.04099988937378,0.524713635444641,0.471566706895828,4.2
117,Tanzania,3.34899997711182,0.511135876178741,0.390017777681351,4.2
118,Thailand,6.42399978637695,1.12786877155304,0.580200731754303,8.4
119,Togo,3.49499988555908,0.305444717407227,0.38042613863945,9.0
120,Tunisia,4.80499982833862,1.00726580619812,0.289680689573288,3.1
121,Turkmenistan,5.82200002670288,1.13077676296234,0.41827192902565,5.8
122,Uganda,4.08099985122681,0.381430715322495,0.443185955286026,4.4
123,Ukraine,4.09600019454956,0.89465194940567,0.122974775731564,20.6
124,United Arab Emirates,6.64799976348877,1.62634336948395,0.60834527015686,5.6
125,United Kingdom,6.71400022506714,1.44163393974304,0.508190035820007,8.2
126,United States,6.99300003051758,1.54625928401947,0.505740523338318,15.9
127,Uruguay,6.4539999961853,1.21755969524384,0.57939225435257,20.8
128,Uzbekistan,5.97100019454956,0.786441087722778,0.658248662948608,8.8
129,Vietnam,5.07399988174438,0.788547575473785,0.571055591106415,7.7
130,Zambia,4.51399993896484,0.636406779289246,0.461603492498398,8.5
131,Zimbabwe,3.875,0.375846534967422,0.336384207010269,15.0
