,Country,Happiness Score,GDP per Capita,Freedom,suicide_rate
0,Afghanistan,3.203,0.35,0.0,4.1
1,Albania,4.719,0.947,0.383,4.3
2,Algeria,5.211,1.002,0.086,2.5
3,Argentina,6.086,1.092,0.471,8.4
4,Armenia,4.559,0.85,0.283,3.3
5,Australia,7.228,1.372,0.557,12.5
6,Austria,7.246,1.376,0.532,14.6
7,Azerbaijan,5.208,1.043,0.351,4.1
8,Bahrain,6.199,1.362,0.536,8.9
9,Bangladesh,4.456,0.562,0.527,3.7
10,Belarus,5.323,1.067,0.235,21.2
11,Belgium,6.923,1.356,0.473,18.3
12,Benin,4.883,0.393,0.349,7.8
13,Bhutan,5.082,0.813,0.457,4.6
14,Bolivia,5.779,0.776,0.511,6.2
15,Bosnia and Herzegovina,5.386,0.945,0.212,10.9
16,Botswana,3.488,1.041,0.455,16.1
17,Brazil,6.3,1.004,0.39,6.9
18,Bulgaria,5.011,1.092,0.311,9.7
19,Burkina Faso,4.587,0.331,0.255,7.5
20,Burundi,3.775,0.046,0.22,6.2
21,Cambodia,4.7,0.574,0.609,4.9
22,Cameroon,5.044,0.549,0.381,9.0
23,Canada,7.278,1.365,0.584,11.8
24,Central African Republic,3.083,0.026,0.225,12.3
25,Chad,4.35,0.35,0.174,6.4
26,Chile,6.444,1.159,0.357,9.0
27,China,5.191,1.029,0.521,8.1
28,Colombia,6.125,0.985,0.47,3.9
29,Costa Rica,7.167,1.034,0.558,8.1
30,Croatia,5.432,1.155,0.296,16.4
31,Cyprus,6.046,1.263,0.406,3.6
32,Czech Republic,6.852,1.269,0.457,12.2
33,Denmark,7.6,1.383,0.592,10.7
34,Dominican Republic,5.425,1.015,0.497,4.9
35,Ecuador,6.028,0.912,0.498,7.6
36,El Salvador,6.253,0.794,0.43,6.1
37,Estonia,5.893,1.237,0.495,14.9
38,Ethiopia,4.286,0.336,0.344,5.4
39,Finland,7.769,1.34,0.596,15.3
40,France,6.592,1.324,0.436,13.8
41,Gabon,4.799,1.057,0.295,8.4
42,Georgia,4.519,0.886,0.346,9.2
43,Germany,6.985,1.373,0.495,12.3
44,Ghana,4.996,0.611,0.381,6.6
45,Greece,5.287,1.181,0.067,5.1
46,Guatemala,6.436,0.8,0.535,5.9
47,Guinea,4.534,0.38,0.332,7.0
48,Haiti,3.597,0.323,0.026,9.6
49,Honduras,5.86,0.642,0.507,2.1
50,Hungary,5.758,1.201,0.199,16.6
51,Iceland,7.494,1.38,0.591,11.9
52,India,4.015,0.755,0.498,12.7
53,Indonesia,5.192,0.931,0.491,2.4
54,Iraq,4.437,1.043,0.241,3.6
55,Ireland,7.021,1.499,0.516,9.6
56,Israel,7.139,1.276,0.371,5.3
57,Italy,6.223,1.294,0.231,6.7
58,Jamaica,5.89,0.831,0.49,2.4
59,Japan,5.886,1.327,0.445,15.3
60,Jordan,4.906,0.837,0.383,1.6
61,Kazakhstan,5.809,1.173,0.41,17.6
62,Kenya,4.509,0.512,0.431,6.1
63,Kuwait,6.021,1.5,0.493,2.9
64,Latvia,5.94,1.187,0.264,20.1
65,Lebanon,5.197,0.987,0.216,2.8
