,Country,Happiness Score,GDP per Capita,Freedom,suicide_rate
66,Lesotho,3.802,0.489,0.359,72.4
67,Liberia,3.975,0.073,0.37,4.5
68,Libya,5.525,1.044,0.416,4.5
69,Lithuania,6.149,1.238,0.291,26.1
70,Luxembourg,7.09,1.609,0.526,11.3
71,Madagascar,3.933,0.274,0.148,5.5
72,Malawi,3.41,0.191,0.443,5.4
73,Malaysia,5.339,1.221,0.508,5.7
74,Mali,4.39,0.385,0.327,4.1
75,Malta,6.726,1.3,0.564,6.1
76,Mauritania,4.49,0.57,0.066,3.1
77,Mauritius,5.888,1.12,0.498,9.5
78,Mexico,6.595,1.07,0.433,5.3
79,Moldova,5.529,0.685,0.245,14.7
80,Mongolia,5.285,0.948,0.317,17.9
81,Montenegro,5.523,1.051,0.197,21.0
82,Morocco,5.208,0.801,0.418,7.2
83,Mozambique,4.466,0.204,0.494,13.6
84,Myanmar,4.36,0.71,0.525,2.9
85,Namibia,4.639,0.879,0.401,9.7
86,Nepal,4.913,0.446,0.439,9.0
87,Netherlands,7.488,1.396,0.557,11.8
88,New Zealand,7.307,1.303,0.585,11.0
89,Nicaragua,6.105,0.694,0.435,4.4
90,Niger,4.628,0.138,0.318,5.3
91,Nigeria,5.265,0.696,0.426,3.5
92,Norway,7.554,1.488,0.603,11.8
93,Pakistan,5.653,0.677,0.313,8.9
94,Panama,6.321,1.149,0.516,2.9
95,Paraguay,5.743,0.855,0.514,6.0
96,Peru,5.697,0.96,0.455,2.8
97,Philippines,5.631,0.807,0.558,2.2
98,Poland,6.182,1.206,0.483,11.3
99,Portugal,5.693,1.221,0.508,11.5
100,Qatar,6.374,1.684,0.555,5.8
101,Romania,6.07,1.162,0.462,9.7
102,Rwanda,3.334,0.359,0.555,5.6
103,Saudi Arabia,6.375,1.403,0.439,6.0
104,Senegal,4.681,0.45,0.292,6.0
105,Serbia,5.603,1.004,0.282,11.4
106,Sierra Leone,4.374,0.268,0.309,6.7
107,Singapore,6.262,1.572,0.556,11.2
108,Slovenia,6.118,1.258,0.564,19.8
109,Somalia,4.668,0.0,0.559,7.9
110,South Africa,4.722,0.96,0.389,23.5
111,South Sudan,2.853,0.306,0.01,3.9
112,Spain,6.354,1.286,0.362,7.7
113,Sri Lanka,4.366,0.949,0.47,14.0
114,Sweden,7.343,1.387,0.574,14.7
115,Switzerland,7.48,1.452,0.572,14.5
116,Tajikistan,5.467,0.493,0.389,4.3
117,Tanzania,3.231,0.476,0.417,4.3
118,Thailand,6.008,1.05,0.557,8.8
119,Togo,4.085,0.275,0.293,8.8
120,Tunisia,4.461,0.921,0.167,3.3
121,Turkmenistan,5.247,1.052,0.394,5.7
122,Uganda,4.189,0.332,0.356,4.6
123,Ukraine,4.332,0.82,0.178,21.6
124,United Arab Emirates,6.825,1.503,0.598,6.4
125,United Kingdom,7.054,1.333,0.45,7.9
126,United States,6.892,1.433,0.454,16.1
127,Uruguay,6.293,1.124,0.523,21.2
128,Uzbekistan,6.174,0.745,0.631,8.0
129,Vietnam,5.175,0.741,0.543,7.5
130,Zambia,4.107,0.578,0.431,7.3
131,Zimbabwe,3.663,0.366,0.361,14.1
